feature,mean_abs_shap
Hct_mean6,0.0
Glucose_mean6,0.0
pH_mean6,0.0
DBP_min6,0.0
EtCO2_min6,0.0
WBC_min6,0.0
Hct_min6,0.0
Hct_dev,0.0
Glucose_min6,0.0
pH_min6,0.0
HR_max6,0.0
O2Sat_max6,0.0
MAP_max6,0.0
DBP_max6,0.0
EtCO2_max6,0.0
WBC_max6,0.0
Platelets_max6,0.0
Glucose_max6,0.0
HR_std6,0.0
Temp_std6,0.0
Hgb_dev,0.0
TroponinI_dev,0.0
Potassium_n_obs,0.0
HR_dev,0.0
Bilirubin_total_n_obs,0.0
Bilirubin_total_obs_rate,0.0
TroponinI_n_obs,0.0
TroponinI_obs_rate,0.0
Hct_n_obs,0.0
Hct_obs_rate,0.0
Hgb_n_obs,0.0
Hgb_obs_rate,0.0
PTT_obs_rate,0.0
WBC_n_obs,0.0
WBC_obs_rate,0.0
Platelets_n_obs,0.0
O2Sat_dev,0.0
Potassium_dev,0.0
MAP_dev,0.0
DBP_dev,0.0
Resp_dev,0.0
EtCO2_dev,0.0
BaseExcess_dev,0.0
HCO3_dev,0.0
SaO2_dev,0.0
BUN_dev,0.0
Alkalinephos_dev,0.0
Chloride_dev,0.0
Bilirubin_direct_dev,0.0
Magnesium_dev,0.0
unit_unknown,0.0
