feature,coefficient,std_err,z,p_value,odds_ratio_per_sd,or_ci_low,or_ci_high,q_value,pseudo_r2
Bilirubin_direct_hours_since,-0.02805275375211094,0.011420101939629309,-2.456436369868474,0.014032264979316218,0.9723370710194235,0.9508150239401031,0.9943462775344089,0.0415770814201962,0.13782816009079568
Temp_std6,0.04730559469879941,0.01943194267223964,2.4344243649081934,0.014915496715060072,1.048442358555383,1.00926231914282,1.0891433855836075,0.042615704900171636,0.13782816009079568
AST_obs_rate,0.05492886060204394,0.02285026060775038,2.4038614502021525,0.01622292048774147,1.0564654556856645,1.0101947891206844,1.1048554903244308,0.044752884104114404,0.13782816009079568
BUN_std24,0.03973845584295278,0.017003888470963856,2.33702167070849,0.019438057305675518,1.0405385918112138,1.0064320441640509,1.0758009617507545,0.05183481948180138,0.13782816009079568
Hct_n_obs,-0.07255803114189685,0.03174127259794665,-2.285920670571685,0.022258899933369918,0.9300117754489813,0.8739170797482889,0.9897070586180632,0.05744232240869657,0.13782816009079568
sirs_hr,0.0862748777536181,0.037959087121116564,2.272838582190865,0.023035909061970707,1.0901059329959777,1.011947238979283,1.174301287043048,0.05758977265492676,0.13782816009079568
any_lab_this_hour,0.0568582549264651,0.02737877675500159,2.0767273656986216,0.03782672936695408,1.0585057617843843,1.003201953883761,1.1168583188989305,0.09170116210170687,0.13782816009079568
rate_pressure_product,-0.07692579790563887,0.03815405543732829,-2.0161892890258257,0.04378018602433145,0.9259585591217957,0.8592405404186645,0.9978570759628552,0.10174972266478015,0.13782816009079568
MAP_std6,0.038333272627948126,0.019078835510538853,2.0092040002532343,0.04451550366584132,1.0390774712588937,1.0009398835743313,1.0786681687837831,0.10174972266478015,0.13782816009079568
BUN_hours_since,0.08497419925118888,0.04426675554247067,1.9195940206113011,0.05490919992194817,1.088688977345199,0.9982145484938351,1.1873636696452694,0.12202044427099594,0.13782816009079568
Platelets_n_obs,-0.07737922697108185,0.04090272892230069,-1.8917864164533458,0.05851944385562476,0.9255387977708845,0.8542365759584343,1.002792540483371,0.1265285272554049,0.13782816009079568
Resp_locf,0.073747421431465,0.03951908152273053,1.866121847721766,0.062024319948008735,1.0765348615197547,0.9962983131421236,1.1632332332394852,0.13057751568001838,0.13782816009079568
Calcium_obs_rate,-0.061040637910595955,0.033321828893872196,-1.8318513700135224,0.0669735674033756,0.9407850074621511,0.8813061395404898,1.0042780715530197,0.137381676724873,0.13782816009079568
n_labs_this_hour,0.0421498863531481,0.024756922153684798,1.7025495371149983,0.0886524005728998,1.0430508061162782,0.9936474737193388,1.0949104314304499,0.1773048011457996,0.13782816009079568
pH_dev,0.04535106210658135,0.029808378112876423,1.5214199824911274,0.12815447745624325,1.0463951451189468,0.9870127857957474,1.1093501679876816,0.2500575169877917,0.13782816009079568
tachycardic,0.03573909522279568,0.026104379033057727,1.369084289556816,0.17097292859458513,1.036385413308446,0.9846938015374335,1.090790582048451,0.3256627211325431,0.13782816009079568
Bilirubin_direct_locf,0.02743852642298735,0.02108628639169588,1.3012498224340292,0.1931729564661181,1.0278184294897694,0.9862061832169297,1.071186473961139,0.35939154691370806,0.13782816009079568
SaO2_hours_since,0.014585705559735202,0.011513826180175516,1.266799179654878,0.20522710551593315,1.014692596021723,0.9920507843785259,1.0378511671318331,0.3731401918471512,0.13782816009079568
Alkalinephos_n_obs,-0.030673204637978596,0.024995842373123016,-1.2271322638424145,0.2197728831247815,0.9697924449702129,0.9234264220439359,1.0184865451863314,0.39070734777738936,0.13782816009079568
lactate_high,-0.024609584133897997,0.020369960984593965,-1.2081311374386288,0.22699682442246671,0.9756907628326158,0.9375042629228635,1.0154326783634249,0.394777085952116,0.13782816009079568
Magnesium_hours_since,-0.03617145117032122,0.03267153801753878,-1.1071242238704406,0.26824022361901856,0.9644749189530998,0.9046505983472902,1.0282554071030254,0.45657910403237195,0.13782816009079568
sirs_resp,-0.04478411929237247,0.04150622720862444,-1.078973501187478,0.28059954067374615,0.956203885524454,0.8814959868823616,1.0372433729685064,0.4601709392644782,0.13782816009079568
WBC_hours_since,0.03452045844983975,0.03240641385274589,1.0652353761418971,0.2867694286186153,1.0351232051756625,0.9714213744358815,1.1030023407868295,0.4601709392644782,0.13782816009079568
HR_dev,0.03040929641063167,0.028596661961987062,1.063386224974583,0.2876068370402989,1.030876381620062,0.9746867602778553,1.090305272925965,0.4601709392644782,0.13782816009079568
sirs_score,0.04460775767230479,0.04345886205136995,1.0264363944821382,0.30468593043201064,1.0456176439634004,0.9602419003241123,1.1385842015418648,0.4701210112614759,0.13782816009079568
BUN_locf,-0.029786859129832987,0.029236073247888968,-1.018839256464915,0.3082792853947468,0.9706523971987445,0.9165959643676128,1.0278968191156046,0.4701210112614759,0.13782816009079568
Resp_mean24,0.02202977581707861,0.02176482470908672,1.012173362824341,0.31145516996072775,1.0222742230675392,0.9795828151862053,1.066826174313493,0.4701210112614759,0.13782816009079568
Bilirubin_total_hours_since,-0.011928772898051384,0.011946556608963087,-0.9985113944131516,0.31803144200166455,0.9881420928530067,0.965273697416711,1.011552265726345,0.4711576918543179,0.13782816009079568
DBP_std6,0.01700915738341552,0.01919507819193225,0.8861207656119119,0.3755524542696618,1.0171546367575943,0.9795984809853414,1.056150632284367,0.544477843173467,0.13782816009079568
PaCO2_dev,0.024825290508435984,0.02834558962249868,0.8758078713145365,0.381134490221427,1.025136003888173,0.9697363541520636,1.0837005563091644,0.544477843173467,0.13782816009079568
Resp_max6,-0.025816512303615997,0.0301545723148135,-0.8561392293709826,0.3919207718715325,0.9745138845126786,0.9185872490759228,1.0338455188261577,0.5500642412232035,0.13782816009079568
Bilirubin_total_dev,-0.015855030270269375,0.01966353416898428,-0.8063164095535714,0.42006043113781744,0.9842699990687132,0.9470580876797161,1.0229440450059881,0.5793936981211275,0.13782816009079568
temp_hr_coupling,-0.04162414524083114,0.05451766030298559,-0.7634983784979424,0.4451662289985726,0.9592302440796548,0.8620200092885952,1.067402903926174,0.6036152257607764,0.13782816009079568
Temp_n_obs,-0.01701591893838605,0.025593166190823073,-0.6648618155141524,0.5061388806793968,0.9831280341557391,0.9350291226841434,1.0337012057638653,0.6638422416665076,0.13782816009079568
DBP_dev,-0.015003184921427179,0.022568035969424406,-0.6647979887019754,0.5061797092707121,0.9851088021039344,0.9424845780332343,1.029660722945462,0.6638422416665076,0.13782816009079568
qsofa_score,0.022321469924285985,0.03824188432782747,0.5836916856119279,0.5594277621044085,1.0225724579289193,0.9487297958373062,1.1021625296293596,0.7218422736831077,0.13782816009079568
BUN_dev,0.012661676357938282,0.02562256160012509,0.49416122226735,0.6211923234528629,1.0127421747715375,0.9631389185452804,1.0649000811950515,0.7888156488290322,0.13782816009079568
FiO2_hours_since,-0.007562338806410383,0.01744367378290696,-0.43352902035010027,0.664630487897726,0.992466183733377,0.9591082704213835,1.0269842897106278,0.8307881098721576,0.13782816009079568
sirs_unmeasured,-0.011278737862554932,0.03022654938165756,-0.37314010673673625,0.7090441699076624,0.9887846286461734,0.9319075299343231,1.0491331064959364,0.8693101038880395,0.13782816009079568
Potassium_hours_since,-0.013411767747276895,0.03703158552459321,-0.36217103743424506,0.7172242212917279,0.986677769279532,0.9176012584902556,1.0609543212617245,0.8693101038880395,0.13782816009079568
PTT_n_obs,-0.010686970969607044,0.030734031536360916,-0.3477243444929595,0.7280472120062331,0.9893699318181013,0.9315321587854046,1.0507987864445278,0.8693101038880395,0.13782816009079568
Magnesium_obs_rate,0.011518396250062889,0.03661611824839519,0.3145717460252007,0.7530868342263832,1.011584988408835,0.9415311209631165,1.0868511576413304,0.8859845108545685,0.13782816009079568
Magnesium_n_obs,0.00954195430765861,0.03266550944916985,0.29211099011042996,0.7702017640803694,1.0095876238971306,0.9469762476880955,1.076338686228558,0.8929875525569501,0.13782816009079568
qsofa_resp,-0.012563226024124546,0.04751698390387913,-0.26439443314706945,0.7914760006624265,0.9875153618499369,0.8996991915563646,1.083902930047835,0.9045440007570589,0.13782816009079568
DBP_n_obs,-0.004784776695980273,0.028900094771631336,-0.16556266454451438,0.8685011310917107,0.99522665211267,0.9404207273196764,1.0532265615820502,0.9666462523278692,0.13782816009079568
Temp_mean24,0.003477843521509239,0.022142972450341844,0.1570630830756215,0.87519513185804,1.0034838982363714,0.9608647824180331,1.047993383091408,0.9666462523278692,0.13782816009079568
HR_std6,0.015149103547125514,0.10211569840538923,0.14835234722662397,0.8820647052491806,1.0152644328588771,0.8311092808121808,1.2402242309470677,0.9666462523278692,0.13782816009079568
HR_max6,0.0147087765336622,0.19143407689671532,0.0768346825816077,0.9387550595703053,1.01481748291257,0.6973309783504991,1.476851818717523,0.9824924886580689,0.13782816009079568
O2Sat_dev,-0.0014650721663595895,0.02957435937425076,-0.04953859347618433,0.9604900817942722,0.9985360005279446,0.9423017266378878,1.0581261990338087,0.9824924886580689,0.13782816009079568
Fibrinogen_locf,0.0009489213664930283,0.02069920316604343,0.04584337662087941,0.9634350855906882,1.0009493717348164,0.9611538671329432,1.0423925648501235,0.9824924886580689,0.13782816009079568
BaseExcess_n_obs,0.0014491624687015372,0.032713457199449965,0.04429866460967944,0.9646663361184492,1.00145021301204,0.939255221376689,1.0677635921702748,0.9824924886580689,0.13782816009079568
HR_min6,0.0043362549738652665,0.16900546819049567,0.025657483277272585,0.9795305361119879,1.0043456701313866,0.721149814724172,1.3987526648640676,0.9824924886580689,0.13782816009079568
SBP_dev,-0.0006639706390039133,0.02809455699072524,-0.023633426190813673,0.9811450093472267,0.9993362497407229,0.9457960827598102,1.055907249194508,0.9824924886580689,0.13782816009079568
SaO2_dev,0.0004031229432518486,0.018370387061191436,0.021944172537522108,0.9824924886580689,1.0004032042082251,0.9650241287413039,1.0370793239081508,0.9824924886580689,0.13782816009079568
