feature,n_septic,n_control,mean_septic,mean_control,hedges_g,univariate_auc,welch_t,p_welch,p_mannwhitney,q_welch,q_mannwhitney,significant,abs_g
Bilirubin_total_n_obs,1253,12981,0.5466904371816306,0.26145093027505456,0.4119227449246994,0.6040973199641714,9.599057403990287,3.7538866255689806e-21,5.784584923693336e-53,2.245506726931263e-20,1.5859403665792564e-51,True,0.4119227449246994
qsofa_resp,1253,12981,0.3419874238942178,0.23744616399371135,0.41034598026148633,0.5956766390660104,11.870643984791998,4.664520919175217e-31,2.9549270501556553e-29,5.291818560029815e-30,2.371148779271245e-28,True,0.41034598026148633
AST_hours_since,602,3509,15.060602826434513,11.213865704959735,0.41027421745683185,0.47609350990192284,4.9957399442414685,7.611469235445057e-07,0.06050715867003956,1.8278637798988492e-06,0.0756914646480723,True,0.41027421745683185
sirs_resp,1253,12981,0.4342955804949497,0.32144312212035187,0.39722554328075516,0.6018472698110622,12.222933851797103,9.01847820966264e-33,8.078261763128135e-33,1.1868317323916034e-31,8.57338103248115e-32,True,0.39722554328075516
Fibrinogen_dev,236,1547,175.6269218477152,118.89250402299912,0.39428102076706206,0.5893418645163411,4.378701452985182,1.705618444922611e-05,9.279854174502438e-06,3.574194066111714e-05,1.828186840366049e-05,True,0.39428102076706206
HR_dev,1253,12980,7.420541908473805,4.941131661748697,0.3908675430855362,0.575025239886522,10.07684691388257,4.306255634134607e-23,1.5621061265789167e-18,2.8335162072605714e-22,7.040176926636487e-18,True,0.3908675430855362
Resp_mean24,797,10307,20.159531296570897,18.702994511686565,0.3901730868131096,0.5976212825845051,9.220981044870275,2.0941180008423748e-19,3.6629605757516855e-20,1.043886094359305e-18,1.882990670972351e-19,True,0.3901730868131096
Bilirubin_direct_locf,76,334,4.249040300810807,2.4323207229866597,0.3888012799501429,0.5878900094547747,2.1572488191300088,0.03378827324106588,0.016672494406613128,0.04555877826356834,0.023441242135793672,True,0.3888012799501429
SaO2_dev,553,5017,35.10276016105256,25.782448187386624,0.38815887406451854,0.5868538830543962,7.482651158089982,2.4200670488227606e-13,1.8902451926879054e-11,8.94609055126616e-13,5.315304858071118e-11,True,0.38815887406451854
HR_max6,1253,12980,96.7207137714456,91.08022112618609,0.369850346043654,0.6009772232312711,11.376281617217144,8.74300951937165e-29,2.9347965503130855e-32,8.21842894820935e-28,2.925903227433349e-31,True,0.369850346043654
sirs_hr,1253,12981,0.4454575635437799,0.31953466803526515,0.36790035689100786,0.6015044211279879,11.695310915397407,2.8320692644029378e-30,3.78981836362067e-33,2.91172121246427e-29,4.156167472104001e-32,True,0.36790035689100786
unit_sicu,1253,12981,0.12130885873902633,0.283260149449195,-0.36714021533467545,0.41902435464491566,-16.132377092360265,1.094642041248803e-54,5.170142471074883e-35,7.202744631417124e-53,6.299914344383839e-34,True,0.36714021533467545
PaCO2_dev,1007,7810,11.623551540700644,8.02740295158342,0.36508812842896354,0.5930906827622774,9.243907027201994,1.0759727668547741e-19,5.9401037316347605e-22,5.531172504612823e-19,3.4898109423354215e-21,True,0.36508812842896354
Fibrinogen_locf,236,1547,366.25539724705584,305.77196404544014,0.36184417316818196,0.5861385623349731,4.272999218489948,2.6495330165554564e-05,1.9670029604982687e-05,5.380841743498427e-05,3.719218241401899e-05,True,0.36184417316818196
HR_locf,1253,12980,89.13386234243869,84.0809403303408,0.35678850725847666,0.5967211819522207,10.963597592222895,6.307962683637592e-27,9.799774351621996e-30,5.321332622863507e-26,8.060314404209092e-29,True,0.35678850725847666
AST_obs_rate,1253,12981,0.03305573425796471,0.017598239745926246,0.3540827841109179,0.6005042792913677,8.371188293576568,1.4058618618849432e-16,5.7783512342521235e-49,6.085902007370346e-16,1.2673850373792993e-47,True,0.3540827841109179
BUN_hours_since,1177,12764,6.0521925904027665,7.015722772288065,-0.34922872915991804,0.42180611916427013,-9.46436292276327,1.312156945691141e-20,6.012844137882639e-19,7.19499391887309e-20,2.8260367448048406e-18,True,0.34922872915991804
Temp_std6,1236,12821,0.24813358538794536,0.20825173422568158,0.3486279556389863,0.5759247507818004,8.740814758036004,6.723910885007409e-18,1.042616356555691e-18,3.072453723843663e-17,4.831278609955244e-18,True,0.3486279556389863
Alkalinephos_obs_rate,1253,12981,0.03217757866181997,0.01714330340981332,0.34793964972454006,0.6016851444676986,8.355975887031928,1.58500323642232e-16,4.294558266860165e-51,6.772286555622639e-16,1.0092211927121388e-49,True,0.34793964972454006
HR_mean6,1253,12980,89.07735584073322,84.10859098419753,0.3459611822804759,0.5937125628845163,10.615161563703104,2.110718084717363e-25,5.135650610604811e-28,1.653395833028601e-24,3.9293698857883324e-27,True,0.3459611822804759
Chloride_hours_since,1179,12684,6.035655974937355,7.003606417621961,-0.34090220711674646,0.42241312209969,-9.42393052987184,1.8631783143398485e-20,1.072511657167529e-18,1.0008111095268734e-19,4.90078243344607e-18,True,0.34090220711674646
BUN_locf,1177,12764,28.030739785050983,21.972430598386513,0.33716436457377513,0.602339390708841,9.566871742517813,5.1179269518558454e-21,2.655722923342438e-31,3.0067820842153095e-20,2.5698024758225355e-30,True,0.33716436457377513
HCO3_hours_since,1175,12693,6.154521203345441,7.0916905552724065,-0.3360052523699232,0.42731507230488913,-9.105525061303327,3.103997919716868e-19,1.494169512770831e-16,1.5242019635624621e-18,6.144772121270043e-16,True,0.3360052523699232
BUN_max6,1177,12764,28.42051205892328,22.32475466521434,0.33451664660217445,0.6020157918125186,9.510384307977334,8.514097064648344e-21,4.082469638576161e-31,4.914277077665448e-20,3.740534243101709e-30,True,0.33451664660217445
BUN_mean6,1177,12764,28.00954426935191,21.989756646545956,0.33431357796576294,0.6017012788463305,9.496857257493506,9.619313355888554e-21,6.202741110431084e-31,5.456472576012645e-20,5.515410338734666e-30,True,0.33431357796576294
BUN_min6,1177,12764,27.604143500429345,21.654533479410592,0.33429563002576246,0.6014878426926623,9.490659893508868,1.0172959955279618e-20,8.21812844731294e-31,5.672718347944059e-20,7.115169103068308e-30,True,0.33429563002576246
qsofa_score,1253,12981,0.5153197763905417,0.4016430156697017,0.332085102416502,0.5935318136095895,10.439801957275318,1.1717381011975102e-24,6.392013599350204e-28,8.761405347590474e-24,4.779482895877766e-27,True,0.332085102416502
Creatinine_hours_since,1172,12743,6.25912688555571,7.175220413046823,-0.3319609454968628,0.4276605117338061,-9.004700173818957,7.42949761748169e-19,2.2188823626683882e-16,3.542470603118082e-18,8.795328883348188e-16,True,0.3319609454968628
FiO2_obs_rate,1253,12981,0.22716511159276137,0.16620901140214106,0.33145841386952174,0.6071752729893829,11.568900494461557,9.906813911075761e-30,1.0635889150897879e-38,9.87679326286038e-29,1.6662893003073343e-37,True,0.33145841386952174
Resp_max6,1252,12966,23.773664255873463,22.292955095121087,0.3312545628359496,0.5826060995604626,9.412905030594702,1.8860270149138647e-20,4.0907557671750894e-22,1.0008111095268734e-19,2.4470157225465534e-21,True,0.3312545628359496
SBP_std6,1162,12874,10.531553338167999,9.333304118392771,0.33079828052204036,0.5829705671038534,8.87940780574292,2.1936749416318226e-18,6.418150086720666e-21,1.0165057123899572e-17,3.5806323968438754e-20,True,0.33079828052204036
