number,value,state,params_colsample_bylevel,params_colsample_bytree,params_gamma,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,duration
28,0.42126523943312494,PRUNED,0.9128070326172297,0.33448286685808215,0.0008874858820097569,0.013304832147341654,4,4,53.04281628202038,0.013688514619076192,0.2578836130633494,0.5553380634498295,0 days 00:00:12.279709
29,0.4123161642381059,PRUNED,0.8273483369016127,0.3164264354410331,0.00010606591487190861,0.025129499375183478,1,9,28.534920319610496,0.12189427335370648,0.4096548618263817,0.6213594732987937,0 days 00:00:23.231605
30,0.43443485027585127,PRUNED,0.9599440873366216,0.350465623014811,0.039953783992425704,0.11855307005661932,3,3,88.99521357127419,0.21373698607456112,0.1762910844858502,0.5360601780066686,0 days 00:00:11.157987
31,0.4356381844157069,COMPLETE,0.7851367526636868,0.4121476311093749,0.03351329228472883,0.020040944031197577,5,3,18.15832442506407,0.16965408961657216,0.05958608939653756,0.708015403929068,0 days 00:00:38.644178
32,0.42403557231306155,PRUNED,0.8147715915005236,0.32456351604716227,0.1590570788399735,0.04423761632168596,6,6,18.453122413806224,0.14505899110993478,0.020704160187776495,0.5177376395345374,0 days 00:00:12.193000
33,0.4332945996593729,PRUNED,0.8913470674441992,0.32114390084408817,0.006083106887665008,0.07556805868786709,2,4,4.504686881394303,0.3531777425030966,0.024715279549211357,0.5516808660315948,0 days 00:00:13.175704
34,0.43401718135940814,PRUNED,0.6675108685568737,0.3478560081376401,0.0016846777451956076,0.048539607617823784,0,5,87.19239893256278,0.003843181996933843,2.87211712629971,0.5445966994221758,0 days 00:00:15.502922
35,0.44497594040513583,COMPLETE,0.8087265199396559,0.4316177325857894,0.16790957526336542,0.043475649388423326,6,3,66.56044726676477,0.011452923227135422,0.029780011347910567,0.5785885840588126,0 days 00:00:29.617061
36,0.4347629167070821,PRUNED,0.7559125305213135,0.6832638151017087,0.6401353161684717,0.048459913106662644,6,5,57.004894055371295,0.007849927439958021,0.1933038030603851,0.5997120144863947,0 days 00:00:15.725372
37,0.44200549523873817,COMPLETE,0.7648675832203845,0.5186594809745143,2.168024999648065,0.06515224211388837,4,3,182.47904538704944,0.0013800159959734884,0.038010654990223165,0.7202558102300066,0 days 00:00:24.941909
38,0.44383269664929337,COMPLETE,0.9057664685636839,0.3498979878060688,0.36308568912205946,0.03948841084703519,6,3,67.69354098813248,0.0031269971013397884,0.19452187053269235,0.5939987839177477,0 days 00:00:30.653794
39,0.43601256775130365,COMPLETE,0.8084278498370578,0.3448675776740137,0.8525404964676526,0.036724093134086096,5,3,55.973801697699955,0.006845274629842221,1.1054711365018692,0.6039729823967094,0 days 00:00:27.042085
40,0.4278083592824582,PRUNED,0.8902619303191552,0.3854483537270869,0.01481036517668644,0.03441567317294124,6,3,31.152822832610937,0.0012742844668628508,0.06454269128645161,0.5897977261926689,0 days 00:00:15.051814
41,0.4399469124060959,COMPLETE,0.8488871264901476,0.3820819385647969,0.0992682968351283,0.021451677733403462,6,5,151.5278528096458,0.004132179184798114,0.06256016872761994,0.5650760810830052,0 days 00:00:33.373500
42,0.4371605825578964,COMPLETE,0.95074441329545,0.3779604329848871,1.0553565044867914,0.01920492571680414,5,4,25.875406156113314,0.0018497800689305278,0.1359486375327744,0.685045518442658,0 days 00:00:33.329983
43,0.42445581707915675,COMPLETE,0.7230794473882177,0.3275160811674829,0.00038960573746881167,0.011434337428012477,0,4,7.753532639709787,0.007993908985327017,0.8661873745195718,0.5555263355504301,0 days 00:00:35.389786
44,0.4353573551074456,COMPLETE,0.9270207890142171,0.39920119095383966,0.0018081621991451714,0.046781520606999145,3,3,16.441372831640308,0.04231833602095163,0.3513574617266286,0.5396258267282166,0 days 00:00:22.597681
45,0.4221724337616919,PRUNED,0.8067770010931459,0.3063314747378844,0.001410557587132138,0.02948070602796909,2,6,94.19700175922041,0.08600435215772895,0.25301667766892816,0.5380739308851711,0 days 00:00:17.693209
46,0.4324466997234227,PRUNED,0.9209674564953056,0.30609319679549707,0.027273929043838057,0.016741443352408947,0,6,43.72430738392946,0.007528389625266188,6.176832539358254,0.5327377150402914,0 days 00:00:31.558256
47,0.43291656334965706,COMPLETE,0.8982687586858593,0.4679890013287141,0.010544833898874636,0.03236021753518138,3,3,34.7380589655634,0.090859744305158,0.017299082907949286,0.5009998632455068,0 days 00:00:28.353776
48,0.4331856881766578,PRUNED,0.982026506143427,0.5639799028113786,0.04274260998568107,0.12717871988457885,5,4,120.12073551352812,0.005382629394357231,0.013561441375252522,0.6879136767701289,0 days 00:00:10.143287
49,0.44829016009050554,COMPLETE,0.8843433163697136,0.41909631445313117,0.16811735708496622,0.04046561115098005,6,3,110.32376430909859,0.005769803734856525,0.6205152894669264,0.9427464125126266,0 days 00:00:34.850669
50,0.4422108292190541,COMPLETE,0.9454388238998993,0.36253272918674184,1.2099704226854748,0.09103680995939109,6,3,27.42463069344356,0.019003575500692045,0.13466952127759954,0.6263092484855591,0 days 00:00:21.771907
